AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
174481394.0,NON-REALTOR,2024,13,3706301.0,106160.228
174481394.0,NON-REALTOR,2025,4,1052649.0,30034.172
174488836.0,REALTOR,2024,1,580500.0,17415.0
175454211.0,REALTOR,2024,2,818000.0,22904.0
175462983.0,REALTOR,2024,3,1909000.0,54822.0
175462983.0,REALTOR,2025,1,397500.0,11925.0
176115332.0,REALTOR,2024,2,1344000.0,37632.0
176115332.0,REALTOR,2025,1,411500.0,11522.0
176773773.0,NON-REALTOR,2024,1,1085000.0,32550.0
179035574.0,NON-REALTOR,2024,1,625000.0,18750.0
179038068.0,REALTOR,2024,2,2340000.0,67700.0
179038068.0,REALTOR,2025,1,965000.0,28950.0
179041325.0,NON-REALTOR,2024,3,1300000.0,36400.0
179041325.0,NON-REALTOR,2025,5,1394900.0,40417.0
179046238.0,REALTOR,2024,3,1315300.0,37757.0
179046238.0,REALTOR,2025,4,1418000.0,40934.0
179047688.0,REALTOR,2024,1,2320000.0,69600.0
179057072.0,NON-REALTOR,2024,1,275000.0,8250.0
179714793.0,REALTOR,2024,3,2441000.0,69820.0
179714793.0,REALTOR,2025,2,1028000.0,30840.0
180372494.0,REALTOR,2024,1,537000.0,15036.0
180388644.0,REALTOR,2025,1,483000.0,13524.0
181046333.0,REALTOR,2024,5,2583000.0,74592.0
181047871.0,REALTOR,2024,2,541000.0,15689.0
181047871.0,REALTOR,2025,4,1875000.0,56250.0
181053510.0,REALTOR,2024,1,550000.0,15400.0
181053510.0,REALTOR,2025,1,515000.0,15450.0
183995677.0,REALTOR,2024,10,6512850.0,187124.2
183995677.0,REALTOR,2025,6,3247000.0,96450.0
184659875.0,REALTOR,2024,1,730000.0,20440.0
184659875.0,REALTOR,2025,2,1462500.0,42050.0
184663262.0,NON-REALTOR,2024,2,1394995.0,39059.86
184665088.0,REALTOR,2024,1,950000.0,26600.0
184673105.0,REALTOR,2024,1,795000.0,22260.0
184673105.0,REALTOR,2025,1,790000.0,22120.0
184676780.0,REALTOR,2024,4,1661000.0,47358.0
184676780.0,REALTOR,2025,4,2463000.0,71240.0
185661112.0,NON-REALTOR,2025,2,1370000.0,38360.0
185661112.0,REALTOR,2024,1,480000.0,14400.0
185678761.0,REALTOR,2024,1,750000.0,22500.0
185678761.0,REALTOR,2025,1,1010043.0,30301.289999999997
186681623.0,NON-REALTOR,2025,1,539700.0,16191.0
186683410.0,REALTOR,2025,1,3120000.0,87360.0
187681147.0,REALTOR,2024,3,1189000.0,34941.0
187685503.0,NON-REALTOR,2024,5,1634420.0,47183.76
187685503.0,NON-REALTOR,2025,5,3604500.0,105305.0
187685553.0,NON-REALTOR,2024,4,2161500.0,60832.0
187689674.0,NON-REALTOR,2024,5,2218990.0,63689.72
187689674.0,NON-REALTOR,2025,3,1640500.0,49215.0
187692111.0,NON-REALTOR,2024,2,763000.0,21936.0
187692111.0,NON-REALTOR,2025,1,570000.0,15960.0
187692112.0,REALTOR,2024,3,1542000.0,44076.0
188695364.0,REALTOR,2025,3,1529999.0,43859.97
188695616.0,REALTOR,2025,1,596550.0,17896.5
190353702.0,REALTOR,2025,1,571000.0,17130.0
190362149.0,REALTOR,2024,5,3638200.0,101869.6
190362149.0,REALTOR,2025,3,2128000.0,62920.0
190369042.0,NON-REALTOR,2024,5,2449000.0,73470.0
190369042.0,NON-REALTOR,2025,7,4654500.0,135965.0
191036847.0,REALTOR,2024,1,509950.0,14278.6
191036847.0,REALTOR,2025,2,854960.0,23938.88
191038717.0,REALTOR,2024,2,1402000.0,40070.0
191038831.0,REALTOR,2024,1,1250000.0,35000.0
191046690.0,NON-REALTOR,2024,1,300000.0,9000.0
191721292.0,NON-REALTOR,2025,2,1337000.0,37436.0
191721292.0,REALTOR,2024,1,1650000.0,49500.0
191722136.0,NON-REALTOR,2024,4,1867900.0,54177.0
191722136.0,NON-REALTOR,2025,2,1358000.0,38024.0
191731453.0,NON-REALTOR,2024,4,4874900.0,143727.2
191731453.0,NON-REALTOR,2025,1,727500.0,21825.0
192418912.0,REALTOR,2024,5,5060000.0,143470.0
192418912.0,REALTOR,2025,3,2642200.0,78176.0
192428387.0,NON-REALTOR,2024,1,240000.0,7200.0
192428387.0,NON-REALTOR,2025,1,740000.0,20720.0
193461719.0,REALTOR,2024,2,1620000.0,48600.0
193461719.0,REALTOR,2025,2,1990000.0,55720.0
195837944.0,REALTOR,2024,2,1555000.0,43540.0
196867064.0,REALTOR,2024,2,893000.0,25004.0
196867064.0,REALTOR,2025,1,520000.0,15600.0
196867633.0,REALTOR,2024,1,535000.0,14980.0
196867633.0,REALTOR,2025,5,3186450.0,93643.5
196872982.0,REALTOR,2024,2,925000.0,25900.0
196872982.0,REALTOR,2025,1,1640000.0,45920.0
198227825.0,REALTOR,2024,3,1805000.0,51990.0
198227825.0,REALTOR,2025,2,937500.0,27380.0
198236169.0,REALTOR,2024,1,540000.0,15120.0
198236169.0,REALTOR,2025,1,745000.0,22350.0
198237233.0,REALTOR,2024,4,2554000.0,73770.0
198594321.0,REALTOR,2024,7,6674950.0,195248.6
198594321.0,REALTOR,2025,2,1006000.0,28168.0
198615542.0,REALTOR,2024,1,685000.0,19180.0
198615542.0,REALTOR,2025,3,4175000.0,116900.0
199990815.0,REALTOR,2024,3,1409900.0,41207.0
199990815.0,REALTOR,2025,3,1540000.0,44030.0
199994265.0,NON-REALTOR,2025,1,645000.0,19350.0
2004367360.0,REALTOR,2024,1,577000.0,17310.0
2004367360.0,REALTOR,2025,1,620000.0,17360.0
2004367658.0,NON-REALTOR,2024,3,380000.0,11270.0
2004367853.0,REALTOR,2024,7,802000.0,23981.0
2004367853.0,REALTOR,2025,3,277000.0,7834.0
2004379230.0,NON-REALTOR,2024,3,676000.0,18928.0
2004388598.0,REALTOR,2024,1,900000.0,25200.0
2004388598.0,REALTOR,2025,1,535000.0,14980.0
2004389719.0,REALTOR,2024,1,597500.0,17925.0
2004397186.0,NON-REALTOR,2024,2,1177500.0,32970.0
2004397186.0,REALTOR,2024,3,1779900.0,52197.2
2004397186.0,REALTOR,2025,4,2128900.0,59609.2
2004399658.0,NON-REALTOR,2024,2,894900.0,25057.2
2004399658.0,NON-REALTOR,2025,1,166517.0,4662.476
2004402489.0,REALTOR,2024,3,2935000.0,83600.0
2004408801.0,REALTOR,2024,2,3643000.0,109290.0
2004408801.0,REALTOR,2025,1,2497000.0,74910.0
2004422236.0,NON-REALTOR,2025,1,475000.0,14250.0
2004431690.0,NON-REALTOR,2024,1,520000.0,14560.0
2004431690.0,NON-REALTOR,2025,2,1211500.0,33922.0
2004438588.0,REALTOR,2024,7,3977500.0,111370.0
2004438588.0,REALTOR,2025,1,725000.0,20300.0
2004440220.0,NON-REALTOR,2024,2,1037000.0,29036.0
2004443032.0,REALTOR,2024,1,780000.0,23400.0
